source,target
Sherrod Brown,Doug Jones
Sherrod Brown,Tina Smith
Sherrod Brown,Charles Grassley
Sherrod Brown,John Cornyn
Sherrod Brown,Chris Van Hollen
Sherrod Brown,John McCain
Sherrod Brown,James Inhofe
Sherrod Brown,Bill Cassidy
Sherrod Brown,John Isakson
Sherrod Brown,Orrin Hatch
Sherrod Brown,Dean Heller
Sherrod Brown,Mitch McConnell
Sherrod Brown,Chris Coons
Sherrod Brown,Tom Cotton
Sherrod Brown,Joni Ernst
Sherrod Brown,David Perdue
Sherrod Brown,Dan Sullivan
Sherrod Brown,Mike Rounds
Sherrod Brown,Benjamin Sasse
Sherrod Brown,Thom Tillis
Sherrod Brown,Catherine Cortez Masto
Sherrod Brown,John Kennedy
Sherrod Brown,James Lankford
Sherrod Brown,Todd Young
Sherrod Brown,Steve Daines
Sherrod Brown,Richard Burr
Sherrod Brown,Cory Gardner
Sherrod Brown,Tim Scott
Sherrod Brown,Pat Roberts
Sherrod Brown,Marco Rubio
Sherrod Brown,Mike Lee
Sherrod Brown,Deb Fischer
Sherrod Brown,Lisa Murkowski
Sherrod Brown,Ted Cruz
Sherrod Brown,Jerry Moran
Sherrod Brown,Richard Shelby
Sherrod Brown,Roy Blunt
Sherrod Brown,Patrick Toomey
Sherrod Brown,Susan Collins
Sherrod Brown,John Boozman
Sherrod Brown,Margaret Hassan
Sherrod Brown,Jeff Flake
Sherrod Brown,Kamala Harris
Sherrod Brown,Bob Corker
Sherrod Brown,Lamar Alexander
Sherrod Brown,Ron Johnson
Sherrod Brown,John Thune
Sherrod Brown,John Barrasso
Sherrod Brown,Michael Enzi
Sherrod Brown,Roger Wicker
Sherrod Brown,John Hoeven
Sherrod Brown,Thad Cochran
Sherrod Brown,James Risch
Sherrod Brown,Michael Crapo
Sherrod Brown,Edward Markey
Sherrod Brown,Shelley Capito
Sherrod Brown,Rosa DeLauro
Sherrod Brown,John Lewis
Sherrod Brown,Christopher Murphy
Sherrod Brown,Patty Murray
Sherrod Brown,Gary Peters
Sherrod Brown,Jeanne Shaheen
