"","MEMBER","PARTY","PVI","2016 D%","2016 R%","CLINTON %","TRUMP %"
"Alabama-01","Bradley Byrne","R","R+15","0.0%","96.4%","33.8%","63.0%"
"Alabama-02","Martha Roby","R","R+16","40.5%","48.8%","32.8%","64.5%"
"Alabama-03","Mike Rogers","R","R+16","32.9%","66.9%","31.9%","64.8%"
"Alabama-04","Robert Aderholt","R","R+30","0.0%","98.5%","17.3%","79.8%"
"Alabama-05","Mo Brooks","R","R+18","33.2%","66.7%","30.9%","63.7%"
"Alabama-06","Gary Palmer","R","R+26","25.4%","74.5%","25.8%","69.6%"
"Alabama-07","Terri Sewell","D","D+20","98.4%","0.0%","69.5%","28.3%"
"Alaska-AL","Don Young","R","R+9","36.0%","50.3%","36.6%","51.3%"
"Arizona-01","Tom O'Halleran","D","R+2","50.7%","43.4%","46.0%","47.0%"
"Arizona-02","Martha McSally","R","R+1","43.0%","57.0%","48.7%","43.9%"
"Arizona-03","Raul Grijalva","D","D+13","88.1%","0.0%","61.6%","32.1%"
"Arizona-04","Paul Gosar","R","R+21","28.5%","71.5%","27.0%","66.4%"
"Arizona-05","Andy Biggs","R","R+15","35.9%","64.1%","35.5%","56.1%"
"Arizona-06","David Schweikert","R","R+9","37.9%","62.1%","41.7%","51.6%"
"Arizona-07","Ruben Gallego","D","D+23","75.2%","24.7%","70.6%","22.3%"
"Arizona-08","Trent Franks","R","R+13","0.0%","68.5%","36.4%","57.1%"
"Arizona-09","Kyrsten Sinema","D","D+4","60.9%","39.0%","53.5%","37.6%"
"Arkansas-01","Rick Crawford","R","R+17","0.0%","76.3%","30.2%","65.0%"
"Arkansas-02","French Hill","R","R+7","36.8%","58.3%","41.7%","52.4%"
"Arkansas-03","Steve Womack","R","R+19","0.0%","77.3%","30.5%","61.9%"
"Arkansas-04","Bruce Westerman","R","R+17","0.0%","74.9%","31.3%","64.2%"
"California-01","Doug La Malfa","R","R+11","40.9%","59.1%","36.0%","55.4%"
"California-02","Jared Huffman","D","D+22","76.9%","23.1%","68.3%","23.1%"
"California-03","John Garamendi","D","D+5","59.4%","40.6%","52.6%","40.1%"
