chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
house,A000055,Aderholt,AL,4,Republican,77,0.987012987012987,0.93767145,63
house,A000367,Amash,MI,3,Republican,77,0.558441558441558,0.83203029,9.4
house,A000369,Amodei,NV,2,Republican,75,0.986666666666667,0.86197752,12.3
house,A000370,Adams,NC,12,Democrat,74,0.148648648648649,0.17750957,-40
house,A000371,Aguilar,CA,31,Democrat,76,0.223684210526316,0.28294602,-21.1
house,A000372,Allen,GA,12,Republican,77,0.974025974025974,0.89415993,16.2
house,A000374,Abraham,LA,5,Republican,77,0.935064935064935,0.93480209,29.4
house,A000375,Arrington,TX,19,Republican,76,0.973684210526316,0.93903663,49
house,B000213,Barton,TX,6,Republican,75,0.906666666666667,0.86197752,12.3
house,B000287,Becerra,CA,34,Democrat,1,0,1.4e-07,-72.9
house,B000490,Bishop,GA,2,Democrat,75,0.44,0.42233136,-11.7
house,B000574,Blumenauer,OR,3,Democrat,73,0.150684931506849,0.17066929,-48.2
house,B000755,Brady,TX,8,Republican,77,0.987012987012987,0.93984806,48.8
house,B001227,Brady,PA,1,Democrat,76,0.144736842105263,0.14688926,-61.3
house,B001243,Blackburn,TN,7,Republican,75,0.92,0.93835975,39.3
house,B001248,Burgess,TX,26,Republican,75,0.96,0.92935128,26.5
house,B001250,Bishop,UT,1,Republican,75,0.946666666666667,0.93076304,27.3
house,B001251,Butterfield,NC,1,Democrat,76,0.197368421052632,0.18935522,-37
house,B001257,Bilirakis,FL,12,Republican,76,0.973684210526316,0.91023478,18.6
house,B001260,Buchanan,FL,16,Republican,72,0.986111111111111,0.84486865,10.7
house,B001269,Barletta,PA,11,Republican,75,0.986666666666667,0.92392692,23.8
house,B001270,Bass,CA,37,Democrat,72,0.0833333333333333,0.12256744,-76.1
house,B001273,Black,TN,6,Republican,72,0.930555555555556,0.94555333,48.9
house,B001274,Brooks,AL,5,Republican,73,0.863013698630137,0.93529062,33.4
house,B001275,Bucshon,IN,8,Republican,77,0.987012987012987,0.93816976,33.7
house,B001278,Bonamici,OR,1,Democrat,77,0.168831168831169,0.26352708,-22.8
house,B001281,Beatty,OH,3,Democrat,77,0.181818181818182,0.18283573,-38.4
house,B001282,Barr,KY,6,Republican,77,0.961038961038961,0.88821089,15.3
house,B001283,Bridenstine,OK,1,Republican,52,0.942307692307692,0.95710611,28.7
house,B001284,Brooks,IN,5,Republican,77,0.987012987012987,0.85880065,11.8
house,B001285,Brownley,CA,26,Democrat,74,0.27027027027027,0.27686375,-21.9
house,B001286,Bustos,IL,17,Democrat,77,0.337662337662338,0.68573312,0.7
house,B001287,Bera,CA,7,Democrat,77,0.324675324675325,0.42391657,-11.4
house,B001289,Byrne,AL,1,Republican,77,0.974025974025974,0.93480209,29.4
house,B001290,Brat,VA,7,Republican,76,0.881578947368421,0.78989106,6.5
house,B001291,Babin,TX,36,Republican,75,0.96,0.94134893,46.8
house,B001292,Beyer,VA,8,Democrat,73,0.164383561643836,0.14689309,-52.6
house,B001293,Bishop,MI,8,Republican,77,0.974025974025974,0.79477975,6.7
house,B001294,Blum,IA,1,Republican,76,0.921052631578947,0.74258425,3.5
house,B001295,Bost,IL,12,Republican,76,0.986842105263158,0.8840144,14.8
house,B001296,Boyle,PA,13,Democrat,76,0.171052631578947,0.20088865,-33.6
house,B001297,Buck,CO,4,Republican,75,0.866666666666667,0.92376126,23.1
house,B001298,Bacon,NE,2,Republican,77,0.974025974025974,0.71602304,2.2
house,B001299,Banks,IN,3,Republican,77,0.948051948051948,0.93878303,35
house,B001300,Barragán,CA,44,Democrat,76,0.131578947368421,0.13875836,-70.7
house,B001301,Bergman,MI,1,Republican,77,0.961038961038961,0.9181886,21.3
house,B001302,Biggs,AZ,5,Republican,77,0.753246753246753,0.91750412,21.1
house,B001303,Blunt Rochester,DE,0,Democrat,75,0.253333333333333,0.41997051,-11.43051247
house,B001304,Brown,MD,4,Democrat,73,0.191780821917808,0.14058236,-58.5
house,B001305,Budd,NC,13,Republican,76,0.894736842105263,0.84289882,9.4
house,C000059,Calvert,CA,42,Republican,77,0.987012987012987,0.86077558,12
house,C000266,Chabot,OH,1,Republican,77,0.948051948051948,0.7932517,6.6
house,C000537,Clyburn,SC,6,Democrat,70,0.171428571428571,0.19075392,-36.5
house,C000714,Conyers,MI,13,Democrat,53,0.132075471698113,0.13288858,-60.7
house,C000754,Cooper,TN,5,Democrat,77,0.38961038961039,0.31120849,-18.4
house,C000984,Cummings,MD,7,Democrat,51,0.137254901960784,0.12805663,-55
house,C001037,Capuano,MA,7,Democrat,75,0.133333333333333,0.13935867,-72.2
house,C001038,Crowley,NY,14,Democrat,74,0.162162162162162,0.15449292,-57.9
house,C001048,Culberson,TX,7,Republican,77,0.987012987012987,0.64085039,-1.4
house,C001049,Clay,MO,1,Democrat,75,0.146666666666667,0.1524962,-58.2
house,C001051,Carter,TX,31,Republican,77,0.987012987012987,0.86739269,12.7
house,C001053,Cole,OK,4,Republican,75,0.986666666666667,0.93803164,37.4
house,C001059,Costa,CA,16,Democrat,71,0.507042253521127,0.26665955,-21.6
house,C001061,Cleaver,MO,5,Democrat,71,0.169014084507042,0.38523264,-13.5
house,C001062,Conaway,TX,11,Republican,77,0.987012987012987,0.93839226,58.7
house,C001063,Cuellar,TX,28,Democrat,77,0.675324675324675,0.29423755,-19.8
house,C001066,Castor,FL,14,Democrat,76,0.223684210526316,0.31708782,-18.2
