1 		Patrick Leahy	Democratic	Vermont	January 3, 1975	 
2	1708	Orrin Hatch	Republican	Utah	January 3, 1977
3	1719	Thad Cochran[6]	Republican	Mississippi	December 27, 1978
4	1745	Chuck Grassley	Republican	Iowa	January 3, 1981
5	1766	Mitch McConnell	Republican	Kentucky	January 3, 1985
6	1775	Richard Shelby	Republican	Alabama	January 3, 1987	Former member of the U.S. House of Representatives (8 years)
7	1777	John McCain	Republican	Arizona	Former member of the U.S. House of Representatives (4 years)
8	1801	Dianne Feinstein	Democratic	California	November 10, 1992	 
9	1810	Patty Murray	Democratic	Washington	January 3, 1993	 
10	1816	Jim Inhofe	Republican	Oklahoma	November 17, 1994
11	1827	Ron Wyden	Democratic	Oregon	February 6, 1996
12	1830	Pat Roberts	Republican	Kansas	January 3, 1997	Former member of the U.S. House of Representatives (16 years)
13	1831	Dick Durbin	Democratic	Illinois	Former member of the U.S. House of Representatives (14 years)
14	1835	Jack Reed	Democratic	Rhode Island	Former member of the U.S. House of Representatives (6 years)
15	1839	Jeff Sessions[7]	Republican	Alabama	Alabama 22nd in population (1990)
16	1842	Susan Collins	Republican	Maine	Maine 38th in population (1990)
17	1843	Mike Enzi	Republican	Wyoming	Wyoming 50th in population (1990)
18	1844	Chuck Schumer	Democratic	New York	January 3, 1999	Former member of the U.S. House of Representatives (18 years)
19	1846	Mike Crapo	Republican	Idaho	Former member of the U.S. House of Representatives (6 years)
20	1854	Bill Nelson	Democratic	Florida	January 3, 2001	Former member of the U.S. House of Representatives (12 years)
21	1855	Tom Carper	Democratic	Delaware	Former member of the U.S. House of Representatives (10 years)
22	1856	Debbie Stabenow	Democratic	Michigan	Former member of the U.S. House of Representatives (4 years)
23	1859	Maria Cantwell	Democratic	Washington	Former member of the U.S. House of Representatives (2 years)
24	1873	John Cornyn[8]	Republican	Texas	December 1, 2002	 
25	1867	Lisa Murkowski	Republican	Alaska	December 20, 2002	 
26	1869	Lindsey Graham	Republican	South Carolina	January 3, 2003	Former member of the U.S. House of Representatives
27	1871	Lamar Alexander	Republican	Tennessee	Former Cabinet member and Governor of Tennessee (2 terms)
28	1876	Richard Burr	Republican	North Carolina	January 3, 2005	Former member of the U.S. House of Representatives (10 years)
29	1879	John Thune	Republican	South Dakota	Former member of the U.S. House of Representatives (6 years)
30	1880	Johnny Isakson	Republican	Georgia	Former member of the U.S. House of Representatives (5 years, 10 months)
31	1885	Bob Menendez	Democratic	New Jersey	January 18, 2006	 
32	1886	Ben Cardin	Democratic	Maryland	January 3, 2007	Former member of the U.S. House of Representatives (20 years)
33	1887	Bernie Sanders	Independent	Vermont	Former member of the U.S. House of Representatives (16 years)[9]
34	1888	Sherrod Brown	Democratic	Ohio	Former member of the U.S. House of Representatives (14 years)
35	1890	Bob Casey	Democratic	Pennsylvania	Pennsylvania 6th in population (2000)
36	1891	Bob Corker	Republican	Tennessee	Tennessee 16th in population (2000)
37	1892	Claire McCaskill	Democratic	Missouri	Missouri 17th in population (2000)
38	1893	Amy Klobuchar	Democratic	Minnesota	Minnesota 21st in population (2000)
39	1894	Sheldon Whitehouse	Democratic	Rhode Island	Rhode Island 43rd in population (2000)
40	1895	Jon Tester	Democratic	Montana	Montana 44th in population (2000)
41	1896	John Barrasso	Republican	Wyoming	June 25, 2007	 
42	1897	Roger Wicker	Republican	Mississippi	December 31, 2007
43	1899	Tom Udall	Democratic	New Mexico	January 3, 2009	Former member of the U.S. House of Representatives
44	1901	Jeanne Shaheen	Democratic	New Hampshire	Former governor (6 years)
45	1902	Mark Warner	Democratic	Virginia	Former governor (4 years)
46	1903	Jim Risch	Republican	Idaho	Former governor (7 months)
47	1905	Jeff Merkley	Democratic	Oregon	 
48	1909	Michael Bennet	Democratic	Colorado	January 21, 2009
49	1910	Kirsten Gillibrand	Democratic	New York	January 26, 2009
50	1911	Al Franken[10]	Democratic	Minnesota	July 7, 2009
51	1916	Joe Manchin	Democratic	West Virginia	November 15, 2010	Former governor
52	1917	Chris Coons	Democratic	Delaware	 
53	1919	Roy Blunt	Republican	Missouri	January 3, 2011	Former member of the U.S. House of Representatives (14 years); Missouri 17th in population (2000)
54	1920	Jerry Moran	Republican	Kansas	Former member of the U.S. House of Representatives (14 years); Kansas 32nd in population (2000)
55	1921	Rob Portman	Republican	Ohio	Former member of the U.S. House of Representatives (12 years)
56	1922	John Boozman	Republican	Arkansas	Former member of the U.S. House of Representatives (9 years)
57	1923	Pat Toomey	Republican	Pennsylvania	Former member of the U.S. House of Representatives (6 years)
58	1924	John Hoeven	Republican	North Dakota	Former governor
59	1925	Marco Rubio	Republican	Florida	Florida 4th in population (2000)
60	1926	Ron Johnson	Republican	Wisconsin	Wisconsin 18th in population (2000)
61	1927	Rand Paul	Republican	Kentucky	Kentucky 25th in population (2000)
62	1928	Richard Blumenthal	Democratic	Connecticut	Connecticut 29th in population (2000)
63	1929	Mike Lee	Republican	Utah	Utah 34th in population (2000)
64	1931	Dean Heller	Republican	Nevada	May 9, 2011	 
65	1932	Brian Schatz	Democratic	Hawaii	December 27, 2012
66	1933	Tim Scott	Republican	South Carolina	January 2, 2013
67	1934	Tammy Baldwin	Democratic	Wisconsin	January 3, 2013	Former member of the U.S. House of Representatives (14 years)
68	1935	Jeff Flake	Republican	Arizona	Former member of the U.S. House of Representatives (12 years)
69	1936	Joe Donnelly	Democratic	Indiana	Former member of the U.S. House of Representatives (6 years); Indiana 16th in population (2010)
70	1937	Chris Murphy	Democratic	Connecticut	Former member of the U.S. House of Representatives (6 years); Connecticut 29th in population (2010)
71	1938	Mazie Hirono	Democratic	Hawaii	Former member of the U.S. House of Representatives (6 years); Hawaii 42nd in population (2010)
72	1939	Martin Heinrich	Democratic	New Mexico	Former member of the U.S. House of Representatives (4 years)
73	1940	Angus King	Independent	Maine	Former governor (8 years)
74	1941	Tim Kaine	Democratic	Virginia	Former governor (4 years)
75	1942	Ted Cruz	Republican	Texas	Texas 2nd in population (2010)
